,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
109,Amir Coffey,SF,26,LAC,34,7,16.6,2.0,3.5,.558,0.7,1.8,.417,1.2,1.8,.700,.663,0.7,0.8,.857,0.4,1.3,1.6,0.7,0.4,0.1,0.4,1.2,5.4
110,John Collins,PF,26,UTA,46,44,27.7,5.5,10.7,.515,1.2,3.5,.346,4.3,7.2,.598,.572,1.8,2.3,.778,2.2,5.8,7.9,1.0,0.6,0.8,1.3,2.8,14.1
111,Zach Collins,C,26,SAS,36,24,25.3,4.6,9.7,.479,1.0,3.4,.290,3.6,6.3,.582,.530,1.9,2.5,.769,1.9,3.8,5.7,3.2,0.6,0.7,2.2,3.3,12.2
112,Mike Conley,PG,36,MIN,43,43,29.2,3.7,8.2,.450,2.3,5.3,.442,1.3,2.9,.464,.593,1.2,1.3,.926,0.3,2.4,2.8,6.3,1.0,0.2,1.1,1.7,10.8
113,Pat Connaughton,SF,31,MIL,42,0,20.8,1.9,4.2,.449,1.2,3.0,.383,0.7,1.1,.625,.588,0.4,0.5,.783,0.6,2.4,3.0,1.7,0.5,0.2,0.5,1.2,5.4
114,Bilal Coulibaly,SF,19,WAS,46,2,26.7,3.1,6.6,.466,1.0,2.7,.385,2.1,4.0,.519,.543,1.2,1.8,.675,0.8,3.2,4.0,1.8,0.9,0.8,1.4,2.1,8.4
115,Ricky Council IV,SG,22,PHI,7,0,4.6,0.9,1.9,.462,0.1,0.3,.500,0.7,1.6,.455,.500,1.3,1.7,.750,0.4,0.0,0.4,0.0,0.3,0.0,0.0,0.1,3.1
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Robert Covington,SF-PF,33,TOT,29,6,16.8,1.5,3.4,.439,0.7,1.9,.339,0.8,1.4,.571,.536,0.8,0.9,.846,1.1,2.3,3.3,0.8,1.3,0.6,0.4,1.9,4.4
118,Robert Covington,PF,33,LAC,3,3,23.0,1.0,3.0,.333,0.7,2.7,.250,0.3,0.3,1.000,.444,0.3,0.7,.500,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0
119,Robert Covington,SF,33,PHI,26,3,16.1,1.5,3.4,.449,0.7,1.8,.354,0.9,1.6,.561,.545,0.8,0.9,.875,1.1,2.3,3.4,0.7,1.3,0.6,0.4,1.9,4.5
120,Torrey Craig,SF,33,CHI,27,7,21.2,2.2,5.1,.424,1.1,2.8,.382,1.1,2.3,.476,.529,0.7,0.9,.783,1.9,3.0,4.8,1.0,0.6,0.4,0.6,2.5,6.1
121,Jae Crowder,PF,33,MIL,17,3,22.6,2.4,5.2,.449,1.6,3.8,.415,0.8,1.4,.542,.601,0.5,0.9,.563,0.5,2.8,3.2,1.2,0.6,0.2,0.5,1.6,6.8
122,Cade Cunningham,PG,22,DET,38,38,34.4,8.5,18.9,.449,1.9,5.4,.343,6.6,13.4,.492,.499,3.8,4.5,.859,0.4,3.6,4.0,7.4,1.0,0.3,3.8,2.8,22.7
123,Seth Curry,SG,33,DAL,36,3,12.7,1.5,4.0,.372,0.8,2.2,.363,0.7,1.8,.385,.472,0.5,0.5,.895,0.4,1.0,1.4,0.8,0.5,0.1,0.4,0.9,4.3
124,Stephen Curry,PG,35,GSW,41,41,33.5,8.8,19.4,.455,4.8,11.6,.409,4.1,7.8,.524,.577,5.1,5.5,.929,0.5,3.8,4.3,5.0,0.8,0.4,3.0,1.9,27.5
125,Dyson Daniels,PG,20,NOP,48,15,21.8,2.1,4.9,.430,0.6,2.1,.284,1.5,2.8,.541,.492,0.6,1.0,.646,1.0,2.7,3.7,2.6,1.3,0.4,1.0,1.6,5.5
