,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
278,Tyus Jones,PG,27,WAS,47,47,28.6,5.1,10.4,.495,1.5,3.7,.403,3.6,6.6,.547,.568,0.5,0.7,.742,0.3,2.6,2.9,6.3,1.2,0.3,0.9,0.7,12.3
279,DeAndre Jordan,C,35,DEN,24,1,12.2,1.7,2.7,.641,0.0,0.0,,1.7,2.7,.641,.641,0.9,2.0,.447,1.7,3.1,4.8,0.8,0.2,0.5,0.8,1.8,4.3
280,Cory Joseph,PG,32,GSW,25,0,11.6,0.8,2.4,.333,0.4,1.6,.282,0.4,0.8,.429,.425,0.2,0.3,.571,0.2,0.9,1.2,1.6,0.2,0.1,0.5,1.0,2.2
281,Nikola Jović,PF,20,MIA,19,12,16.7,1.9,4.8,.402,1.0,2.4,.422,0.9,2.5,.383,.505,0.6,1.1,.550,0.9,3.4,4.3,1.9,0.3,0.4,0.9,1.9,5.5
282,Johnny Juzang,SG,22,UTA,1,0,4.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
283,Luke Kennard,SG,27,MEM,21,9,24.6,3.5,8.1,.433,2.7,6.3,.432,0.8,1.9,.436,.599,0.8,0.9,.895,0.4,2.8,3.2,3.1,0.5,0.0,1.0,1.0,10.6
284,Walker Kessler,C,22,UTA,42,13,23.1,3.7,5.7,.660,0.1,0.4,.250,3.6,5.3,.689,.668,0.8,1.6,.515,2.5,4.9,7.4,0.8,0.5,2.7,1.0,2.1,8.4
285,Braxton Key,SF,26,DEN,13,0,3.4,0.4,1.1,.357,0.1,0.3,.250,0.3,0.8,.400,.393,0.3,0.4,.800,0.2,0.6,0.8,0.6,0.2,0.0,0.1,0.3,1.2
286,Corey Kispert,SF,24,WAS,46,1,21.7,4.0,8.3,.479,1.9,5.2,.364,2.1,3.2,.669,.592,1.4,1.8,.768,0.3,1.9,2.2,1.5,0.3,0.2,1.0,1.5,11.3
287,Maxi Kleber,C,32,DAL,13,2,18.7,1.2,3.3,.349,0.5,1.8,.292,0.6,1.5,.421,.430,0.8,1.2,.667,0.7,2.3,3.0,1.5,0.2,0.6,0.9,2.2,3.6
288,Kevin Knox,SF,24,DET,29,9,18.2,3.0,6.2,.475,1.1,3.1,.344,1.9,3.1,.604,.561,0.7,0.8,.909,0.6,1.9,2.5,0.7,0.4,0.2,0.7,1.6,7.7
289,John Konchar,SF,27,MEM,38,9,18.4,1.4,3.4,.422,0.6,1.9,.297,0.8,1.4,.593,.508,0.3,0.4,.786,1.1,3.0,4.1,1.6,0.7,0.9,0.6,1.2,3.7
290,Furkan Korkmaz,SG,26,PHI,32,0,7.8,0.8,2.2,.391,0.4,1.2,.351,0.4,1.0,.438,.486,0.3,0.5,.688,0.0,0.6,0.7,0.8,0.4,0.0,0.3,0.5,2.4
291,Luke Kornet,C,28,BOS,33,2,15.1,2.2,3.3,.685,0.0,0.0,,2.2,3.3,.685,.685,0.8,0.9,.897,1.8,2.0,3.9,0.9,0.4,1.0,0.5,1.4,5.3
292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Jonathan Kuminga,PF,21,GSW,43,17,24.3,5.6,10.5,.532,0.8,2.6,.324,4.7,7.9,.600,.572,2.8,3.9,.713,1.2,3.3,4.5,1.6,0.7,0.4,1.5,2.2,14.8
294,Kyle Kuzma,PF,28,WAS,47,47,31.4,8.6,18.9,.457,2.2,6.7,.331,6.4,12.1,.527,.516,2.5,3.2,.799,1.0,5.5,6.5,4.3,0.4,0.7,2.7,2.0,22.0
295,Jock Landale,C,28,HOU,27,0,9.2,0.9,2.3,.387,0.1,0.6,.118,0.8,1.7,.489,.403,0.4,0.6,.733,1.3,0.8,2.1,0.6,0.3,0.4,0.4,1.0,2.3
296,Jake LaRavia,PF,22,MEM,11,0,11.1,1.5,3.9,.372,0.5,2.2,.208,1.0,1.7,.579,.430,0.3,0.4,.750,0.6,0.8,1.5,0.5,0.1,0.1,0.4,1.7,3.6
297,Zach LaVine,SG,28,CHI,25,23,34.9,6.8,15.0,.452,2.4,6.8,.349,4.4,8.3,.536,.531,3.5,4.1,.854,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,19.5
298,A.J. Lawson,SG,23,DAL,22,0,9.7,1.5,3.5,.447,0.5,1.7,.316,1.0,1.7,.579,.526,0.5,0.8,.706,0.5,0.8,1.3,0.6,0.4,0.1,0.5,0.8,4.2
299,Saben Lee,PG,24,PHO,11,0,6.8,0.8,1.9,.429,0.0,0.5,.000,0.8,1.5,.563,.429,1.2,1.5,.765,0.5,0.6,1.1,1.1,0.3,0.3,0.5,0.5,2.8
300,Alex Len,C,30,SAC,17,0,8.8,1.1,1.7,.621,0.0,0.1,.000,1.1,1.6,.667,.621,0.2,0.6,.400,1.4,1.9,3.3,1.1,0.2,0.5,0.6,1.1,2.4
301,Kawhi Leonard,SF,32,LAC,42,42,34.4,9.0,17.2,.526,2.2,5.0,.439,6.8,12.1,.563,.591,3.6,4.1,.884,1.2,5.1,6.3,3.7,1.7,0.9,1.5,1.5,23.9
302,Caris LeVert,SG,29,CLE,36,1,28.4,5.6,13.1,.425,1.8,5.4,.337,3.7,7.6,.487,.495,2.5,3.3,.756,0.5,2.9,3.4,4.1,1.1,0.4,1.6,1.6,15.4
303,Kira Lewis Jr.,PG,22,TOT,16,0,9.1,1.0,3.3,.308,0.1,1.3,.100,0.9,2.0,.438,.327,0.6,0.7,.909,0.3,0.6,0.9,1.1,0.3,0.1,0.5,0.6,2.8
304,Kira Lewis Jr.,PG,22,NOP,15,0,9.6,1.1,3.5,.308,0.1,1.3,.100,0.9,2.1,.438,.327,0.7,0.7,.909,0.3,0.7,0.9,1.2,0.3,0.1,0.5,0.5,2.9
305,Kira Lewis Jr.,PG,22,TOR,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
306,Maxwell Lewis,SF,21,LAL,18,0,3.7,0.2,0.7,.250,0.1,0.2,.333,0.1,0.5,.222,.292,0.0,0.0,,0.1,0.1,0.2,0.2,0.1,0.0,0.3,0.2,0.4
307,E.J. Liddell,PF,23,NOP,8,0,2.9,0.1,0.8,.167,0.0,0.6,.000,0.1,0.1,1.000,.167,0.3,0.3,1.000,0.0,0.6,0.6,0.1,0.3,0.3,0.3,0.3,0.5
308,Damian Lillard,PG,33,MIL,45,45,35.3,7.4,17.6,.422,3.0,8.6,.343,4.4,8.9,.498,.506,7.4,8.0,.925,0.6,3.7,4.3,6.8,1.1,0.2,2.5,1.6,25.1
309,Nassir Little,SF,23,PHO,28,2,13.4,1.6,3.4,.484,0.6,1.9,.308,1.1,1.5,.698,.568,0.6,0.7,.850,0.5,1.7,2.2,0.6,0.4,0.3,0.4,1.1,4.5
310,Dereck Lively II,C,19,DAL,36,35,26.0,4.2,5.6,.739,0.0,0.1,.000,4.2,5.6,.746,.739,0.9,1.6,.544,2.9,5.0,7.9,1.3,0.6,1.4,1.2,3.1,9.2
311,Isaiah Livers,PF,25,DET,23,6,20.4,1.7,5.0,.345,1.0,3.3,.286,0.8,1.7,.462,.440,0.5,0.8,.667,0.7,1.4,2.1,1.1,0.6,0.2,0.7,1.9,5.0
312,Chris Livingston,SF,20,MIL,13,0,4.5,0.5,1.0,.538,0.1,0.1,1.000,0.5,0.9,.500,.577,0.2,0.2,1.000,0.2,0.8,1.0,0.3,0.2,0.0,0.2,0.5,1.3
313,Kenneth Lofton Jr.,PF,21,TOT,16,0,6.4,0.9,2.4,.359,0.2,0.6,.300,0.7,1.8,.379,.397,0.5,0.9,.533,0.1,0.9,1.1,0.9,0.2,0.2,0.5,0.9,2.4
314,Kenneth Lofton Jr.,PF,21,MEM,15,0,6.6,0.9,2.5,.378,0.2,0.7,.300,0.7,1.8,.407,.419,0.5,1.0,.533,0.1,0.9,1.0,0.9,0.2,0.2,0.4,1.0,2.6
315,Kenneth Lofton Jr.,PF,21,PHI,1,0,4.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
316,Kevon Looney,C,27,GSW,44,36,19.5,2.2,3.6,.610,0.0,0.0,.000,2.2,3.6,.614,.610,0.9,1.2,.704,2.4,4.3,6.8,2.3,0.5,0.3,0.8,2.4,5.3
317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Brook Lopez,C,35,MIL,48,48,31.9,5.0,10.2,.491,1.8,5.1,.348,3.2,5.1,.633,.578,1.5,1.8,.828,1.6,3.9,5.5,1.6,0.6,2.8,0.9,2.6,13.3
319,Robin Lopez,C,35,MIL,13,0,2.9,0.2,0.6,.375,0.2,0.5,.333,0.1,0.2,.500,.500,0.2,0.2,1.000,0.1,0.2,0.2,0.3,0.0,0.1,0.1,0.3,0.8
320,Kevin Love,PF,35,MIA,37,5,17.9,2.8,6.6,.432,1.5,4.5,.335,1.3,2.1,.645,.547,1.9,2.4,.789,1.1,5.1,6.1,2.3,0.4,0.2,0.8,1.8,9.1
321,Kyle Lowry,PG,37,MIA,37,35,28.0,2.8,6.5,.426,1.7,4.4,.385,1.1,2.2,.506,.554,0.9,1.1,.833,0.7,2.8,3.5,4.0,1.1,0.4,1.4,2.5,8.2
322,Seth Lundy,SF,23,ATL,9,0,5.8,0.4,1.9,.235,0.3,1.4,.231,0.1,0.4,.250,.324,0.3,0.4,.750,0.1,0.7,0.8,0.0,0.0,0.0,0.1,0.7,1.6
323,Trey Lyles,PF,28,SAC,32,0,20.1,2.4,5.4,.442,1.5,3.9,.384,0.9,1.5,.596,.581,0.7,1.1,.618,0.9,3.6,4.6,1.3,0.2,0.3,0.6,1.6,6.9
324,Théo Maledon,PG,22,CHO,13,1,15.4,1.5,5.1,.288,0.4,2.3,.167,1.1,2.8,.389,.326,0.8,0.9,.917,0.3,1.5,1.8,2.2,0.5,0.0,1.2,1.4,4.2
325,Sandro Mamukelashvili,C,24,SAS,26,0,6.8,0.9,2.3,.407,0.3,1.2,.250,0.6,1.0,.593,.475,0.5,0.6,.750,0.6,1.3,1.9,1.0,0.2,0.3,0.3,0.7,2.6
326,Terance Mann,SG,27,LAC,40,36,25.1,2.9,6.5,.452,0.9,3.0,.298,2.0,3.5,.587,.521,0.8,1.1,.750,1.2,2.0,3.2,1.8,0.6,0.3,0.6,1.9,7.6
327,Tre Mann,PG,22,OKC,13,0,9.2,1.5,3.1,.500,0.6,1.5,.421,0.9,1.6,.571,.600,0.1,0.1,1.000,0.3,1.5,1.8,1.5,0.2,0.0,0.7,0.2,3.8
328,Boban Marjanović,C,35,HOU,8,0,5.5,1.0,2.4,.421,0.0,0.3,.000,1.0,2.1,.471,.421,0.1,0.5,.250,0.6,1.6,2.3,0.5,0.0,0.1,0.1,0.5,2.1
329,Lauri Markkanen,PF,26,UTA,40,40,32.5,7.9,16.0,.495,3.2,8.1,.398,4.7,8.0,.594,.595,4.6,5.2,.879,2.4,6.3,8.7,2.0,0.9,0.5,1.2,1.9,23.6
330,Naji Marshall,SF,26,NOP,39,1,18.6,2.6,5.7,.455,0.8,2.2,.379,1.7,3.5,.504,.529,1.5,1.9,.781,1.0,2.6,3.5,1.9,0.7,0.2,1.0,1.5,7.5
331,Caleb Martin,SF,28,MIA,31,12,26.3,3.9,8.8,.445,1.2,3.1,.381,2.7,5.6,.480,.513,1.4,1.8,.764,1.2,3.5,4.7,2.1,0.7,0.3,1.2,2.0,10.4
332,Cody Martin,SF,28,CHO,16,10,26.2,2.8,7.6,.364,1.0,3.0,.333,1.8,4.6,.384,.430,0.8,1.4,.522,0.8,2.5,3.3,3.1,1.2,0.7,1.4,1.9,7.3
333,KJ Martin,SF,23,TOT,33,0,8.9,1.0,2.0,.493,0.0,0.3,.091,1.0,1.7,.571,.500,0.3,0.7,.478,0.2,0.8,1.0,0.5,0.4,0.1,0.4,1.3,2.4
334,KJ Martin,SF,23,LAC,2,0,15.5,2.0,5.0,.400,0.5,2.5,.200,1.5,2.5,.600,.450,0.5,1.0,.500,0.5,1.0,1.5,0.5,1.0,0.5,1.0,1.5,5.0
335,KJ Martin,SF,23,PHI,31,0,8.5,0.9,1.8,.509,0.0,0.2,.000,0.9,1.6,.569,.509,0.3,0.7,.476,0.2,0.7,1.0,0.5,0.4,0.0,0.4,1.3,2.2
336,Garrison Mathews,SG,27,ATL,33,3,12.6,1.2,2.6,.453,1.1,2.4,.450,0.1,0.2,.500,.663,0.1,0.3,.444,0.2,1.0,1.2,0.5,0.2,0.1,0.5,1.7,3.6
337,Bennedict Mathurin,SF,21,IND,47,14,25.5,5.1,11.1,.456,1.3,3.5,.364,3.8,7.6,.499,.513,2.9,3.5,.834,1.0,2.8,3.9,1.9,0.6,0.2,1.6,2.0,14.3
338,Wesley Matthews,SG,37,ATL,19,1,11.2,0.5,2.1,.256,0.3,1.6,.200,0.2,0.5,.444,.333,0.7,1.0,.737,0.2,1.2,1.4,0.6,0.5,0.2,0.3,1.4,2.1
339,Tyrese Maxey,PG,23,PHI,43,43,37.5,9.0,19.8,.454,3.2,8.3,.383,5.8,11.6,.504,.533,5.1,5.9,.866,0.6,3.0,3.6,6.4,1.0,0.6,1.5,2.1,26.3
340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Skylar Mays,PG-SG,26,TOT,26,5,14.8,2.3,5.7,.399,0.6,2.0,.314,1.7,3.7,.443,.453,0.5,0.7,.765,0.4,1.2,1.5,3.1,0.6,0.1,0.7,0.9,5.7
342,Skylar Mays,PG,26,POR,21,5,17.0,2.5,6.6,.384,0.7,2.3,.286,1.9,4.2,.438,.435,0.6,0.8,.765,0.4,1.3,1.8,3.6,0.7,0.1,0.9,1.0,6.3
343,Skylar Mays,SG,26,LAL,5,0,6.0,1.2,2.0,.600,0.4,0.4,1.000,0.8,1.6,.500,.700,0.0,0.0,,0.2,0.4,0.6,1.2,0.4,0.0,0.0,0.8,2.8
344,Miles McBride,PG,23,NYK,36,2,10.5,1.9,4.1,.456,1.1,2.5,.456,0.7,1.6,.456,.595,0.3,0.4,.800,0.1,0.6,0.7,0.9,0.5,0.1,0.3,1.1,5.2
345,CJ McCollum,PG,32,NOP,34,34,32.0,6.9,14.7,.465,3.4,7.8,.436,3.5,7.0,.498,.580,2.0,2.5,.802,0.6,3.6,4.2,4.7,1.1,0.9,1.7,2.1,19.1
346,T.J. McConnell,PG,31,IND,38,3,17.0,3.5,6.7,.525,0.1,0.4,.118,3.5,6.3,.555,.529,0.9,1.2,.750,0.5,2.1,2.6,5.5,1.1,0.1,1.5,1.1,8.0
347,Jaden McDaniels,SF,23,MIN,38,37,28.8,4.5,8.7,.517,1.2,3.3,.370,3.3,5.4,.608,.588,0.7,0.9,.771,0.7,1.9,2.7,1.3,0.9,0.5,1.1,3.1,10.9
348,Jalen McDaniels,SF,26,TOR,29,0,9.0,1.1,3.3,.344,0.3,1.7,.208,0.8,1.7,.479,.396,0.5,0.7,.700,0.3,1.0,1.2,0.6,0.4,0.1,0.3,0.9,3.1
349,Doug McDermott,SF,32,SAS,43,0,15.3,2.1,4.7,.441,1.7,3.8,.438,0.4,0.9,.450,.616,0.2,0.4,.588,0.2,0.9,1.0,1.3,0.2,0.0,0.6,1.0,6.0
350,JaVale McGee,C,36,SAC,36,0,8.2,2.0,3.1,.649,0.0,0.1,.000,2.0,3.0,.667,.649,0.7,1.1,.610,1.0,2.0,3.0,0.4,0.3,0.5,0.9,1.1,4.7
351,Bryce McGowens,SG,21,CHO,37,11,16.0,1.7,3.9,.441,0.7,1.9,.362,1.1,2.1,.513,.528,0.9,1.2,.744,0.3,1.4,1.7,0.9,0.2,0.1,0.5,1.4,5.0
352,Jordan McLaughlin,PG,27,MIN,27,0,9.2,1.0,2.4,.406,0.5,1.3,.371,0.5,1.1,.448,.508,0.1,0.2,.500,0.3,0.7,1.0,1.8,0.7,0.2,0.4,0.5,2.5
353,De'Anthony Melton,SG,25,PHI,33,33,29.1,3.9,9.9,.393,2.1,5.8,.363,1.8,4.1,.437,.500,1.9,2.3,.827,0.8,3.2,4.0,3.2,1.6,0.5,1.2,2.4,11.8
354,Nathan Mensah,C,25,CHO,21,0,13.1,0.5,1.1,.435,0.0,0.0,,0.5,1.1,.435,.435,0.4,0.6,.750,1.2,1.6,2.8,0.4,0.3,0.7,0.6,2.8,1.4
355,Sam Merrill,SG,27,CLE,31,0,16.4,2.9,6.6,.437,2.5,5.7,.438,0.4,1.0,.433,.624,0.3,0.4,.909,0.5,1.6,2.0,1.5,0.3,0.0,0.3,1.3,8.6
356,Chimezie Metu,C,26,PHO,36,5,12.2,1.8,3.5,.508,0.4,1.4,.294,1.4,2.1,.653,.567,1.1,1.2,.884,0.6,2.3,3.0,0.5,0.5,0.3,0.7,1.1,5.0
357,Vasilije Micić,PG,30,OKC,27,0,11.9,1.3,3.1,.417,0.4,1.5,.250,0.9,1.6,.568,.476,0.5,0.7,.737,0.0,0.8,0.8,2.4,0.3,0.1,0.9,0.8,3.5
358,Khris Middleton,SF,32,MIL,41,41,26.4,5.7,11.7,.491,1.7,4.6,.378,4.0,7.1,.564,.565,1.9,2.2,.835,0.6,3.7,4.3,5.0,0.9,0.3,2.1,2.4,15.0
359,Brandon Miller,SF,21,CHO,40,34,31.0,5.7,13.2,.433,2.1,5.7,.374,3.6,7.6,.477,.513,1.7,2.1,.817,0.8,3.1,3.9,2.3,0.7,0.5,1.6,2.6,15.3
360,Jordan Miller,SF,24,LAC,4,0,4.0,0.8,1.3,.600,0.3,0.3,1.000,0.5,1.0,.500,.700,0.0,0.0,,0.5,0.3,0.8,0.0,0.0,0.0,0.3,0.5,1.8
361,Leonard Miller,SF,20,MIN,5,0,3.8,1.2,1.8,.667,0.2,0.6,.333,1.0,1.2,.833,.722,0.0,0.0,,0.0,1.8,1.8,0.2,0.2,0.2,0.2,0.6,2.6
362,Dariq Whitehead,SF,19,BRK,2,0,12.0,0.5,2.5,.200,0.0,1.5,.000,0.5,1.0,.500,.200,0.5,1.0,.500,0.0,2.0,2.0,1.5,0.0,0.5,0.0,0.0,1.5
363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Patty Mills,PG,35,ATL,16,0,10.9,1.1,2.8,.400,0.8,1.9,.433,0.3,0.9,.333,.544,0.0,0.0,,0.3,0.7,1.0,0.8,0.4,0.1,0.5,1.1,3.1
365,Shake Milton,SG,27,MIN,37,0,13.1,1.7,4.2,.408,0.4,1.4,.264,1.4,2.8,.481,.452,1.0,1.2,.818,0.2,1.1,1.3,1.4,0.4,0.1,0.8,1.2,4.8
366,Justin Minaya,SF,24,POR,12,0,9.6,0.5,1.7,.300,0.3,1.1,.231,0.3,0.6,.429,.375,0.3,0.5,.500,0.4,0.7,1.1,0.4,0.3,0.4,0.3,0.8,1.5
367,Josh Minott,SF,21,MIN,15,0,3.1,0.5,1.2,.444,0.0,0.3,.000,0.5,0.9,.615,.444,0.7,0.8,.833,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.4,1.7
368,Davion Mitchell,PG,25,SAC,36,3,12.5,1.4,3.6,.377,0.5,1.9,.269,0.9,1.8,.492,.446,0.4,0.5,.737,0.2,0.8,1.0,1.7,0.2,0.1,0.6,1.2,3.6
369,Donovan Mitchell,SG,27,CLE,37,37,35.6,9.9,21.2,.466,3.2,9.2,.348,6.7,12.0,.556,.542,5.2,6.1,.854,1.0,4.4,5.4,6.4,1.9,0.5,2.8,2.2,28.1
370,Evan Mobley,PF,22,CLE,23,23,32.5,6.5,11.4,.573,0.1,0.5,.182,6.4,10.9,.590,.576,2.3,2.9,.776,2.5,7.6,10.1,2.8,0.8,1.5,2.2,2.8,15.4
371,Isaiah Mobley,PF,24,CLE,3,0,4.7,0.7,1.3,.500,0.3,0.7,.500,0.3,0.7,.500,.625,0.0,0.0,,0.0,0.7,0.7,1.3,0.3,0.0,0.3,0.7,1.7
372,Malik Monk,SG,25,SAC,45,0,25.3,4.8,11.2,.431,2.3,6.1,.377,2.5,5.1,.496,.534,2.3,2.8,.816,0.4,2.2,2.6,5.3,0.6,0.6,2.2,1.9,14.2
373,Moses Moody,SG,21,GSW,34,4,18.0,3.1,6.5,.482,1.1,3.1,.358,2.0,3.4,.595,.568,1.3,1.7,.789,1.1,2.0,3.1,0.8,0.7,0.3,0.7,1.4,8.7
374,Xavier Moon,SG,29,LAC,2,0,6.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,,0.0,1.0,1.0,1.5,0.0,0.0,0.5,0.5,1.0
375,Taze Moore,SG,25,POR,3,0,3.3,1.0,1.7,.600,0.0,0.7,.000,1.0,1.0,1.000,.600,0.0,0.0,,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.7,2.0
376,Wendell Moore Jr.,SG,22,MIN,12,0,3.1,0.3,0.5,.667,0.0,0.2,.000,0.3,0.3,1.000,.667,0.0,0.0,,0.0,0.4,0.4,0.1,0.3,0.1,0.2,0.3,0.7
377,Ja Morant,PG,24,MEM,9,9,35.3,8.9,18.9,.471,1.6,5.7,.275,7.3,13.2,.555,.512,5.8,7.1,.813,0.7,4.9,5.6,8.1,0.8,0.6,3.0,2.1,25.1
378,Marcus Morris,PF,34,PHI,35,6,17.0,2.4,5.4,.442,1.0,2.4,.400,1.4,3.0,.476,.532,0.9,1.0,.861,0.5,2.4,2.9,0.7,0.3,0.3,0.5,1.7,6.7
379,Markieff Morris,PF,34,DAL,16,1,9.4,0.9,2.9,.319,0.6,1.8,.321,0.4,1.2,.316,.415,0.2,0.3,.750,0.3,1.5,1.8,0.7,0.3,0.1,0.6,0.7,2.6
380,Monte Morris,PG,28,DET,4,0,12.3,2.8,6.0,.458,0.5,1.8,.286,2.3,4.3,.529,.500,0.3,0.5,.500,0.0,1.8,1.8,1.8,0.3,0.3,0.5,0.3,6.3
381,Trey Murphy III,SF,23,NOP,23,4,25.9,4.3,10.2,.427,2.6,7.2,.355,1.8,3.0,.603,.553,1.7,2.2,.780,0.5,3.4,3.9,1.8,0.7,0.3,0.6,1.3,13.0
382,Dejounte Murray,SG,27,ATL,46,46,34.8,8.3,17.6,.472,2.3,6.1,.383,5.9,11.4,.519,.538,2.6,3.1,.832,0.7,4.3,5.0,5.2,1.3,0.3,2.3,1.7,21.5
383,Jamal Murray,PG,26,DEN,35,35,31.8,7.9,16.6,.478,2.3,5.7,.414,5.6,10.9,.512,.549,3.0,3.5,.860,0.6,3.2,3.8,6.4,0.8,0.7,1.9,2.0,21.2
384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Keegan Murray,SF,23,SAC,42,42,33.0,6.1,13.0,.469,2.5,6.6,.372,3.7,6.5,.568,.563,1.5,1.8,.792,1.4,4.1,5.5,1.6,1.2,0.6,0.9,2.6,16.1
386,Kris Murray,SF,23,POR,28,0,12.4,1.3,3.5,.371,0.5,1.8,.294,0.8,1.6,.457,.448,0.3,0.4,.667,0.6,1.2,1.8,0.6,0.8,0.2,0.5,0.8,3.4
387,Mike Muscala,C,32,TOT,31,3,13.6,1.4,3.6,.378,0.7,2.2,.319,0.6,1.4,.476,.477,0.5,0.7,.727,0.9,2.1,3.0,0.9,0.2,0.4,0.5,1.3,3.9
388,Mike Muscala,C,32,WAS,24,2,14.1,1.4,3.8,.367,0.6,2.1,.275,0.8,1.6,.487,.444,0.6,0.8,.750,0.9,2.2,3.1,0.9,0.2,0.3,0.7,1.3,4.0
389,Mike Muscala,C,32,DET,7,1,12.1,1.3,3.0,.429,1.1,2.6,.444,0.1,0.4,.333,.619,0.1,0.3,.500,0.7,1.9,2.6,0.9,0.1,0.6,0.1,1.3,3.9
390,Svi Mykhailiuk,SF,26,BOS,21,0,7.7,0.9,2.8,.328,0.7,2.2,.298,0.2,0.5,.455,.448,0.1,0.3,.500,0.2,0.6,0.9,0.3,0.3,0.0,0.3,0.5,2.6
391,Larry Nance Jr.,C,31,NOP,31,0,17.8,2.2,3.9,.567,0.6,1.3,.462,1.6,2.6,.617,.642,0.8,1.0,.800,1.3,3.8,5.1,1.3,1.0,0.4,0.7,1.2,5.7
392,Pete Nance,PF,23,CLE,2,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,Andrew Nembhard,PG,24,IND,35,15,22.2,3.9,8.1,.484,0.7,2.3,.329,3.2,5.9,.544,.530,0.8,1.0,.800,0.6,1.2,1.8,4.7,0.8,0.1,1.9,2.1,9.4
394,Aaron Nesmith,SF,24,IND,44,19,26.8,4.6,8.8,.519,2.2,4.7,.464,2.4,4.1,.583,.643,1.2,1.7,.716,1.0,3.0,3.9,1.4,1.0,0.7,0.9,3.3,12.5
395,Georges Niang,PF,30,CLE,46,1,22.1,3.4,7.8,.436,1.8,4.8,.363,1.7,3.0,.555,.549,0.7,0.8,.861,0.3,3.4,3.8,1.3,0.2,0.2,0.7,2.3,9.3
396,Daishen Nix,PG,21,MIN,6,0,3.5,0.5,1.3,.375,0.3,0.8,.400,0.2,0.5,.333,.500,0.0,0.3,.000,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,1.3
397,Zeke Nnaji,PF,23,DEN,37,0,9.4,1.1,2.5,.457,0.1,0.4,.313,1.0,2.1,.487,.484,0.7,1.1,.641,1.1,1.0,2.1,0.5,0.2,0.5,0.6,1.5,3.1
398,Jaylen Nowell,SG,24,MEM,9,1,17.3,2.4,6.1,.400,0.4,2.6,.174,2.0,3.6,.563,.436,0.3,0.3,1.000,0.3,1.2,1.6,1.8,0.3,0.0,0.6,1.4,5.7
399,Markquis Nowell,SG,24,TOR,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,2.0,2.0,1.000,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0
400,Frank Ntilikina,PG,25,CHO,5,0,8.6,0.2,1.8,.111,0.2,1.6,.125,0.0,0.2,.000,.167,0.4,0.4,1.000,0.2,1.0,1.2,0.8,0.0,0.0,0.2,0.8,1.0
401,Jusuf Nurkić,C,29,PHO,45,45,27.4,4.5,8.9,.505,0.5,1.8,.266,4.0,7.2,.563,.531,2.3,3.3,.709,2.6,7.6,10.3,3.6,1.0,1.0,2.1,3.4,11.8
402,Jordan Nwora,SF,25,TOT,22,0,11.1,2.3,5.0,.459,0.9,2.4,.365,1.4,2.6,.544,.546,0.9,1.0,.864,0.5,1.5,2.0,1.1,0.3,0.1,0.7,1.2,6.3
403,Jordan Nwora,SF,25,IND,18,0,10.2,2.1,4.6,.451,0.6,2.0,.306,1.4,2.6,.565,.518,0.5,0.6,.818,0.4,1.4,1.8,1.0,0.3,0.1,0.7,1.1,5.2
404,Jordan Nwora,SF,25,TOR,4,0,15.5,3.3,6.8,.481,2.0,4.0,.500,1.3,2.8,.455,.630,2.5,2.8,.909,1.0,2.0,3.0,1.8,0.3,0.3,0.8,1.8,11.0
405,Royce O'Neale,SF,30,BRK,46,6,24.3,2.4,6.3,.384,1.9,5.2,.361,0.6,1.2,.481,.531,0.3,0.4,.650,0.8,3.8,4.5,2.9,0.7,0.6,1.0,2.5,7.0
406,Chuma Okeke,SF,25,ORL,29,8,12.7,1.2,3.3,.379,0.8,2.4,.310,0.5,0.8,.583,.495,0.1,0.2,.400,0.6,1.8,2.4,0.6,0.2,0.2,0.4,0.6,3.3
